stream,subject_liked,skills,soft_skill,preferred_field,career_label
Computer Science,Physics,Problem Solving,Adaptability,Research,Accountant
Science,Math,Problem Solving,Adaptability,Education,Graphic Designer
Commerce,Math,Communication,Collaboration,Marketing,AI Researcher
Arts,CS,Programming,Critical Thinking,Marketing,AI Researcher
Engineering,Chemistry,Analytical Thinking,Time Management,IT,Doctor
Management,Physics,Communication,Time Management,Research,Robotics Engineer
Computer Science,Geography,Problem Solving,Critical Thinking,Design,Business Analyst
Medical,History,Creativity,Leadership,Healthcare,AI Researcher
Commerce,Economics,Communication,Leadership,IT,Mechanical Engineer
Commerce,CS,Communication,Adaptability,Design,Web Developer
Management,CS,Communication,Adaptability,Finance,Marketing Manager
Management,History,Creativity,Collaboration,Education,Pharmacist
Medical,Chemistry,Programming,Critical Thinking,Finance,Graphic Designer
Engineering,Accounts,Research,Adaptability,Education,Data Scientist
Medical,Accounts,Problem Solving,Leadership,Marketing,Marketing Manager
Computer Science,History,Teamwork,Time Management,Engineering,Doctor
Engineering,Chemistry,Programming,Time Management,Engineering,Robotics Engineer
Engineering,Physics,Analytical Thinking,Collaboration,Research,Data Scientist
Arts,Geography,Programming,Collaboration,Research,Psychologist
Engineering,CS,Programming,Leadership,Healthcare,Architect
Commerce,CS,Creativity,Time Management,IT,Marketing Manager
Science,CS,Teamwork,Leadership,Design,Robotics Engineer
Management,Chemistry,Analytical Thinking,Empathy,Finance,Marketing Manager
Arts,Math,Research,Critical Thinking,Finance,Civil Servant
Computer Science,CS,Programming,Critical Thinking,Finance,Teacher
Commerce,History,Teamwork,Empathy,Research,Graphic Designer
Science,Math,Problem Solving,Critical Thinking,Healthcare,Mechanical Engineer
Engineering,Biology,Programming,Collaboration,Research,Robotics Engineer
Arts,CS,Creativity,Leadership,Finance,Entrepreneur
Management,Geography,Creativity,Critical Thinking,Research,Software Engineer
Management,CS,Analytical Thinking,Adaptability,Engineering,Software Engineer
Engineering,Math,Programming,Empathy,Marketing,Accountant
Management,Biology,Problem Solving,Critical Thinking,Finance,Web Developer
Commerce,Biology,Programming,Empathy,IT,Entrepreneur
Computer Science,Physics,Creativity,Time Management,Healthcare,Entrepreneur
Management,Math,Problem Solving,Adaptability,IT,Graphic Designer
Computer Science,Chemistry,Teamwork,Leadership,Engineering,Accountant
Engineering,CS,Teamwork,Critical Thinking,IT,Lawyer
Science,Economics,Programming,Collaboration,IT,Architect
Arts,CS,Analytical Thinking,Critical Thinking,Engineering,Accountant
Management,CS,Problem Solving,Critical Thinking,Healthcare,Civil Servant
Management,Chemistry,Programming,Adaptability,Finance,UX Designer
Arts,Physics,Programming,Time Management,Design,Investment Banker
Arts,Accounts,Creativity,Time Management,Research,Mechanical Engineer
Science,Geography,Programming,Empathy,Healthcare,Architect
Arts,Math,Creativity,Collaboration,Education,Entrepreneur
Engineering,Economics,Analytical Thinking,Critical Thinking,Engineering,Civil Servant
Medical,History,Creativity,Collaboration,Marketing,Psychologist
Medical,Chemistry,Teamwork,Leadership,Research,Marketing Manager
Management,Math,Research,Time Management,Engineering,Pharmacist
Management,Geography,Programming,Adaptability,Marketing,Teacher
Science,CS,Analytical Thinking,Leadership,Finance,Graphic Designer
Engineering,Accounts,Teamwork,Empathy,Design,Data Scientist
Arts,Biology,Creativity,Time Management,Research,Civil Servant
Medical,CS,Creativity,Time Management,Healthcare,Psychologist
Arts,Physics,Communication,Adaptability,Education,Software Engineer
Computer Science,Geography,Programming,Empathy,Education,Robotics Engineer
Computer Science,History,Creativity,Time Management,Research,Software Engineer
Computer Science,Chemistry,Teamwork,Leadership,Research,UX Designer
Engineering,Biology,Problem Solving,Time Management,Engineering,Psychologist
Medical,Accounts,Creativity,Critical Thinking,Finance,Data Scientist
Computer Science,Math,Problem Solving,Leadership,Healthcare,Web Developer
Medical,Accounts,Creativity,Empathy,Finance,Psychologist
Management,Chemistry,Teamwork,Leadership,Finance,Marketing Manager
Medical,Physics,Analytical Thinking,Empathy,Marketing,UX Designer
Engineering,CS,Problem Solving,Adaptability,Design,Data Scientist
Management,Accounts,Research,Empathy,Education,Civil Servant
Management,Geography,Research,Leadership,Design,Psychologist
Medical,Accounts,Research,Leadership,Research,Psychologist
Commerce,Biology,Creativity,Adaptability,Design,Entrepreneur
Commerce,Physics,Problem Solving,Adaptability,IT,Software Engineer
Commerce,Accounts,Research,Time Management,Education,Robotics Engineer
Science,Geography,Communication,Critical Thinking,Research,Data Scientist
Arts,Math,Creativity,Leadership,Marketing,Business Analyst
Computer Science,Biology,Communication,Critical Thinking,Engineering,UX Designer
Medical,Economics,Teamwork,Empathy,Education,Entrepreneur
Management,Biology,Communication,Empathy,Design,Software Engineer
Science,Geography,Creativity,Adaptability,Finance,Pharmacist
Management,Accounts,Problem Solving,Leadership,IT,Entrepreneur
Commerce,Biology,Communication,Adaptability,Research,Investment Banker
Medical,Math,Teamwork,Empathy,Research,Robotics Engineer
Medical,CS,Creativity,Collaboration,IT,Pharmacist
Medical,Physics,Teamwork,Time Management,Engineering,Civil Servant
Arts,CS,Teamwork,Adaptability,Research,UX Designer
Management,Chemistry,Programming,Critical Thinking,Engineering,Pharmacist
Management,CS,Communication,Critical Thinking,Design,UX Designer
Commerce,Accounts,Communication,Adaptability,Education,Accountant
Management,Accounts,Communication,Collaboration,Marketing,Psychologist
Commerce,Chemistry,Analytical Thinking,Critical Thinking,Healthcare,Psychologist
Management,Biology,Analytical Thinking,Critical Thinking,Healthcare,AI Researcher
Arts,Math,Analytical Thinking,Critical Thinking,Marketing,Architect
Medical,Accounts,Programming,Time Management,IT,Mechanical Engineer
Management,Physics,Teamwork,Critical Thinking,Engineering,Entrepreneur
Commerce,Economics,Creativity,Leadership,Engineering,Mechanical Engineer
Science,History,Communication,Empathy,Research,Mechanical Engineer
Medical,Biology,Programming,Critical Thinking,Healthcare,Doctor
Computer Science,Math,Problem Solving,Adaptability,Marketing,Accountant
Management,History,Creativity,Adaptability,Finance,Architect
Management,Biology,Programming,Leadership,IT,Entrepreneur
Management,Biology,Teamwork,Collaboration,Engineering,Investment Banker
Engineering,Physics,Communication,Empathy,Research,Doctor
Computer Science,Geography,Creativity,Empathy,Marketing,Accountant
Medical,CS,Analytical Thinking,Critical Thinking,Design,Lawyer
Commerce,Economics,Creativity,Empathy,Finance,Doctor
Arts,Biology,Communication,Leadership,IT,Data Scientist
Commerce,Chemistry,Analytical Thinking,Adaptability,IT,Robotics Engineer
Management,CS,Communication,Empathy,Engineering,Software Engineer
Arts,CS,Teamwork,Time Management,Research,Web Developer
Computer Science,Math,Creativity,Adaptability,Research,Civil Servant
Medical,Biology,Research,Critical Thinking,Marketing,Data Scientist
Science,Accounts,Analytical Thinking,Time Management,Education,Data Scientist
Computer Science,Geography,Problem Solving,Adaptability,Marketing,Software Engineer
Commerce,Accounts,Programming,Time Management,Design,Lawyer
Medical,CS,Communication,Time Management,Healthcare,Web Developer
Management,Chemistry,Research,Empathy,Research,Lawyer
Computer Science,History,Creativity,Critical Thinking,Marketing,Entrepreneur
Engineering,Physics,Creativity,Adaptability,Engineering,Web Developer
Engineering,Chemistry,Research,Critical Thinking,Engineering,Lawyer
Engineering,CS,Research,Adaptability,Healthcare,Business Analyst
Engineering,Chemistry,Creativity,Adaptability,Healthcare,Lawyer
Management,History,Creativity,Critical Thinking,IT,Graphic Designer
Commerce,Geography,Programming,Leadership,Education,Pharmacist
Medical,CS,Programming,Empathy,Design,Investment Banker
Arts,History,Communication,Critical Thinking,Healthcare,Web Developer
Computer Science,CS,Problem Solving,Collaboration,Healthcare,Investment Banker
Management,Math,Programming,Leadership,IT,Business Analyst
Engineering,Economics,Analytical Thinking,Time Management,Finance,Entrepreneur
Commerce,History,Analytical Thinking,Leadership,Marketing,Data Scientist
Commerce,Economics,Problem Solving,Time Management,IT,Business Analyst
Arts,Chemistry,Problem Solving,Critical Thinking,Engineering,Civil Servant
Medical,Chemistry,Programming,Empathy,Finance,Robotics Engineer
Arts,Biology,Analytical Thinking,Collaboration,Finance,Marketing Manager
Commerce,History,Teamwork,Leadership,Design,Teacher
Arts,Math,Communication,Critical Thinking,Education,Architect
Science,Chemistry,Problem Solving,Empathy,Engineering,Pharmacist
Commerce,Economics,Problem Solving,Time Management,Finance,Lawyer
Medical,Biology,Research,Leadership,Marketing,Business Analyst
Science,History,Creativity,Collaboration,Engineering,Data Scientist
Computer Science,Biology,Research,Collaboration,Engineering,UX Designer
Science,Accounts,Problem Solving,Collaboration,Research,Civil Servant
Medical,Physics,Communication,Adaptability,Marketing,Psychologist
Management,Economics,Problem Solving,Critical Thinking,Design,Web Developer
Science,Physics,Communication,Collaboration,Research,Software Engineer
Computer Science,Physics,Communication,Adaptability,Engineering,Software Engineer
Computer Science,Economics,Programming,Leadership,Healthcare,Doctor
Science,Economics,Communication,Empathy,Finance,Pharmacist
Engineering,Economics,Teamwork,Collaboration,Healthcare,Mechanical Engineer
Management,Math,Creativity,Empathy,Healthcare,Web Developer
Medical,CS,Creativity,Collaboration,Research,UX Designer
Management,History,Teamwork,Empathy,Finance,Robotics Engineer
Commerce,CS,Research,Collaboration,Design,Lawyer
Science,Chemistry,Creativity,Adaptability,Research,Architect
Medical,Economics,Programming,Empathy,Marketing,Architect
Medical,History,Analytical Thinking,Critical Thinking,Research,Doctor
Medical,History,Research,Empathy,Engineering,Business Analyst
Engineering,Biology,Teamwork,Critical Thinking,Finance,Accountant
Medical,Biology,Programming,Critical Thinking,Finance,Marketing Manager
Science,Chemistry,Programming,Collaboration,IT,AI Researcher
Medical,History,Creativity,Critical Thinking,Design,Business Analyst
Science,History,Creativity,Collaboration,Finance,Teacher
Engineering,Accounts,Research,Critical Thinking,Engineering,Graphic Designer
Commerce,Geography,Programming,Adaptability,Healthcare,Software Engineer
Engineering,Chemistry,Analytical Thinking,Adaptability,Finance,Teacher
Management,History,Creativity,Leadership,Marketing,Entrepreneur
Commerce,CS,Research,Collaboration,Healthcare,Robotics Engineer
Engineering,Chemistry,Creativity,Empathy,Engineering,Software Engineer
Science,Chemistry,Teamwork,Adaptability,Healthcare,Doctor
Science,Geography,Creativity,Adaptability,Healthcare,Entrepreneur
Computer Science,Physics,Creativity,Empathy,IT,Pharmacist
Management,History,Analytical Thinking,Collaboration,Education,Investment Banker
Computer Science,History,Research,Time Management,Research,Lawyer
Arts,Physics,Analytical Thinking,Empathy,Finance,UX Designer
Science,Accounts,Problem Solving,Leadership,Design,Marketing Manager
Medical,Economics,Creativity,Empathy,Research,UX Designer
Management,History,Analytical Thinking,Adaptability,Healthcare,Data Scientist
Engineering,Physics,Problem Solving,Empathy,Healthcare,Architect
Management,Chemistry,Communication,Critical Thinking,Marketing,Robotics Engineer
Medical,Physics,Programming,Collaboration,Education,Graphic Designer
Science,CS,Teamwork,Adaptability,Engineering,Business Analyst
Engineering,Economics,Programming,Critical Thinking,Research,Data Scientist
Computer Science,Chemistry,Creativity,Critical Thinking,Design,Accountant
Engineering,Math,Problem Solving,Empathy,Engineering,Teacher
Management,Physics,Creativity,Time Management,IT,AI Researcher
Commerce,History,Communication,Empathy,Design,Software Engineer
Science,Economics,Programming,Empathy,Research,Software Engineer
Science,CS,Creativity,Time Management,Marketing,Teacher
Computer Science,Physics,Problem Solving,Critical Thinking,Design,Teacher
Commerce,Physics,Teamwork,Empathy,Healthcare,Web Developer
Arts,Accounts,Research,Time Management,Healthcare,Accountant
Computer Science,CS,Problem Solving,Empathy,Marketing,Architect
Arts,History,Problem Solving,Time Management,Design,Marketing Manager
Management,Biology,Programming,Leadership,Finance,Investment Banker
Arts,Physics,Research,Leadership,IT,Data Scientist
Management,Chemistry,Communication,Adaptability,Engineering,Graphic Designer
Computer Science,Chemistry,Problem Solving,Empathy,IT,AI Researcher
Commerce,CS,Research,Empathy,Finance,Doctor
Engineering,Geography,Programming,Empathy,Research,Civil Servant
Computer Science,Physics,Analytical Thinking,Time Management,Healthcare,Teacher
Medical,Math,Teamwork,Leadership,Marketing,Accountant
Science,Math,Teamwork,Empathy,Engineering,UX Designer
Engineering,Geography,Teamwork,Collaboration,Research,Robotics Engineer
Computer Science,Chemistry,Analytical Thinking,Leadership,Engineering,Civil Servant
Commerce,Biology,Creativity,Time Management,Finance,Entrepreneur
Commerce,Biology,Communication,Critical Thinking,IT,Psychologist
Management,Chemistry,Research,Time Management,Education,AI Researcher
Science,Physics,Analytical Thinking,Leadership,IT,Civil Servant
Computer Science,Economics,Creativity,Critical Thinking,Finance,Software Engineer
Medical,Chemistry,Teamwork,Empathy,Finance,Software Engineer
Arts,Physics,Problem Solving,Time Management,Healthcare,Web Developer
Management,CS,Teamwork,Adaptability,Education,Doctor
Management,Physics,Communication,Critical Thinking,Healthcare,Software Engineer
Computer Science,CS,Communication,Collaboration,Healthcare,Business Analyst
Engineering,Physics,Programming,Time Management,Education,Accountant
Arts,Chemistry,Research,Critical Thinking,Education,Mechanical Engineer
Medical,CS,Creativity,Adaptability,Healthcare,Mechanical Engineer
Arts,Chemistry,Analytical Thinking,Empathy,Education,Mechanical Engineer
Engineering,Biology,Analytical Thinking,Time Management,IT,Architect
Medical,Math,Creativity,Time Management,Healthcare,Marketing Manager
Arts,History,Programming,Critical Thinking,Research,AI Researcher
Commerce,Physics,Teamwork,Empathy,Engineering,Lawyer
Medical,Biology,Analytical Thinking,Adaptability,Finance,Civil Servant
Science,Chemistry,Analytical Thinking,Critical Thinking,Healthcare,AI Researcher
Engineering,Accounts,Creativity,Adaptability,IT,Entrepreneur
Computer Science,Physics,Creativity,Time Management,Education,Teacher
Medical,Biology,Communication,Leadership,Research,Mechanical Engineer
Engineering,Biology,Creativity,Empathy,IT,Doctor
Arts,Biology,Communication,Empathy,IT,Accountant
Arts,Economics,Research,Collaboration,IT,Doctor
Engineering,Economics,Problem Solving,Time Management,IT,Architect
Computer Science,Math,Problem Solving,Critical Thinking,Marketing,Teacher
Computer Science,Chemistry,Research,Leadership,Design,Investment Banker
Science,Economics,Problem Solving,Leadership,Marketing,Mechanical Engineer
Computer Science,Biology,Research,Empathy,Research,AI Researcher
Management,Biology,Teamwork,Adaptability,Engineering,Robotics Engineer
Science,Math,Analytical Thinking,Collaboration,Research,Accountant
Commerce,Chemistry,Teamwork,Collaboration,Finance,Marketing Manager
Management,Chemistry,Teamwork,Adaptability,Education,Doctor
Commerce,Chemistry,Programming,Leadership,Research,Robotics Engineer
Science,Chemistry,Teamwork,Critical Thinking,Marketing,Architect
Management,Biology,Communication,Time Management,Finance,Data Scientist
Arts,Accounts,Communication,Leadership,Engineering,Robotics Engineer
Science,Physics,Teamwork,Adaptability,IT,AI Researcher
Engineering,Math,Research,Collaboration,Education,Psychologist
Medical,Chemistry,Creativity,Empathy,Marketing,Doctor
Science,CS,Problem Solving,Leadership,Education,UX Designer
Arts,History,Analytical Thinking,Collaboration,Marketing,AI Researcher
Arts,Geography,Creativity,Empathy,Engineering,Accountant
Science,Economics,Teamwork,Adaptability,Design,Data Scientist
Science,Physics,Programming,Time Management,Design,Lawyer
Arts,Math,Programming,Collaboration,Education,Doctor
Computer Science,CS,Problem Solving,Critical Thinking,Research,Robotics Engineer
Computer Science,Biology,Programming,Collaboration,Marketing,Data Scientist
Science,Chemistry,Problem Solving,Critical Thinking,Research,Psychologist
Science,CS,Teamwork,Adaptability,Marketing,Robotics Engineer
Arts,Accounts,Teamwork,Collaboration,Finance,Software Engineer
Arts,History,Creativity,Empathy,IT,UX Designer
Computer Science,Economics,Problem Solving,Critical Thinking,Finance,Robotics Engineer
Commerce,Physics,Programming,Collaboration,IT,Psychologist
Medical,Accounts,Research,Adaptability,Marketing,Mechanical Engineer
Management,CS,Analytical Thinking,Leadership,Marketing,Pharmacist
Science,Economics,Programming,Adaptability,Marketing,UX Designer
Medical,Math,Creativity,Empathy,Design,AI Researcher
Science,Physics,Creativity,Time Management,Healthcare,Accountant
Commerce,Chemistry,Communication,Leadership,Research,Investment Banker
Arts,Chemistry,Creativity,Collaboration,Finance,Robotics Engineer
Engineering,Accounts,Creativity,Leadership,Design,Pharmacist
Science,Physics,Creativity,Collaboration,Engineering,UX Designer
Engineering,History,Communication,Collaboration,Finance,Architect
Commerce,Accounts,Creativity,Collaboration,IT,UX Designer
Arts,Math,Communication,Empathy,Design,Teacher
Commerce,Economics,Analytical Thinking,Critical Thinking,Finance,Civil Servant
Management,History,Teamwork,Empathy,Research,Mechanical Engineer
Medical,Math,Teamwork,Collaboration,Education,AI Researcher
Engineering,Geography,Creativity,Collaboration,IT,Investment Banker
Science,CS,Creativity,Adaptability,Education,Accountant
Commerce,Geography,Teamwork,Empathy,Finance,Business Analyst
Commerce,Physics,Communication,Leadership,IT,Marketing Manager
Engineering,History,Analytical Thinking,Time Management,Design,Accountant
Computer Science,Biology,Research,Adaptability,Engineering,Entrepreneur
Commerce,Math,Analytical Thinking,Empathy,Research,Robotics Engineer
Arts,Math,Problem Solving,Critical Thinking,Engineering,Marketing Manager
Engineering,Biology,Creativity,Collaboration,Marketing,Lawyer
Science,Chemistry,Programming,Critical Thinking,IT,Doctor
Management,Economics,Problem Solving,Empathy,Design,Business Analyst
Science,CS,Teamwork,Adaptability,Finance,Architect
Engineering,Math,Research,Adaptability,Healthcare,Mechanical Engineer
Medical,Biology,Programming,Empathy,Education,Psychologist
Arts,Accounts,Analytical Thinking,Critical Thinking,Design,AI Researcher
Engineering,Economics,Teamwork,Adaptability,Design,Business Analyst
Medical,Economics,Teamwork,Critical Thinking,Healthcare,Marketing Manager
Arts,CS,Creativity,Adaptability,Design,Pharmacist
Management,Economics,Analytical Thinking,Critical Thinking,Marketing,Doctor
Medical,CS,Teamwork,Critical Thinking,Design,Entrepreneur
Medical,Physics,Programming,Empathy,Research,Accountant
Management,Geography,Communication,Empathy,Education,Software Engineer
Arts,Math,Teamwork,Collaboration,Healthcare,Civil Servant
Engineering,Geography,Programming,Time Management,Engineering,Architect
Science,Economics,Programming,Adaptability,Education,UX Designer
Computer Science,Math,Programming,Critical Thinking,Healthcare,Graphic Designer
Computer Science,Geography,Research,Critical Thinking,Marketing,Entrepreneur
Commerce,Biology,Creativity,Adaptability,Finance,Architect
Arts,Biology,Problem Solving,Adaptability,Marketing,Teacher
Management,Chemistry,Communication,Empathy,Marketing,Lawyer
Science,History,Analytical Thinking,Critical Thinking,Healthcare,Graphic Designer
Computer Science,Chemistry,Research,Adaptability,Engineering,Accountant
Engineering,History,Analytical Thinking,Critical Thinking,Engineering,Software Engineer
Commerce,Biology,Programming,Critical Thinking,Design,Marketing Manager
Engineering,History,Creativity,Empathy,Education,Civil Servant
Arts,Accounts,Communication,Empathy,Finance,Robotics Engineer
Computer Science,Chemistry,Problem Solving,Time Management,Design,AI Researcher
Management,CS,Teamwork,Collaboration,Engineering,Pharmacist
Engineering,Physics,Communication,Collaboration,Healthcare,Doctor
Computer Science,Physics,Creativity,Time Management,Education,Pharmacist
Science,Biology,Problem Solving,Collaboration,Healthcare,Software Engineer
Science,History,Research,Empathy,Finance,UX Designer
Computer Science,CS,Teamwork,Critical Thinking,Healthcare,AI Researcher
Commerce,CS,Teamwork,Time Management,Healthcare,AI Researcher
Science,Accounts,Communication,Collaboration,Design,AI Researcher
Science,Math,Problem Solving,Adaptability,Healthcare,Mechanical Engineer
Medical,Accounts,Programming,Empathy,Engineering,Psychologist
Engineering,History,Communication,Empathy,Design,Lawyer
Science,Economics,Problem Solving,Critical Thinking,IT,Business Analyst
Management,Geography,Creativity,Empathy,Design,AI Researcher
Arts,Math,Analytical Thinking,Adaptability,Design,Business Analyst
Engineering,Geography,Creativity,Collaboration,Research,Civil Servant
Engineering,Accounts,Creativity,Empathy,Engineering,Business Analyst
Arts,Geography,Creativity,Collaboration,Marketing,Software Engineer
Computer Science,Physics,Research,Leadership,Finance,Investment Banker
Science,Economics,Analytical Thinking,Adaptability,Design,Investment Banker
Computer Science,Economics,Programming,Collaboration,Design,Accountant
Medical,Biology,Problem Solving,Critical Thinking,Healthcare,Architect
Arts,CS,Analytical Thinking,Time Management,Research,Pharmacist
Medical,Economics,Analytical Thinking,Critical Thinking,Engineering,Software Engineer
Arts,CS,Research,Collaboration,Finance,Marketing Manager
Commerce,History,Research,Critical Thinking,Engineering,Lawyer
